codice_articolo,descrizione,fornitore,unita_misura,esistenza,consumo_medio_giornaliero,giorni_inventario,punto_riordino,quantita_riordino,urgenza_riordino,prezzo_unitario,valore_giacenza
BEV.LIQ.00045,LIQUORE VERMOUTH CARPANO ROSSO 1LT,FABBROCINO MICHELE SRL,LT,3.0,4.359375,0.7,49.0,131.0,URGENTE,9.6,28.799999999999997
BEV.LIQ.00043,LIQUORE VERMOUTH CARPANO DRY 1 LT,BELLAGAIA SRL,LT,1.0,1.09375,0.9,12.0,33.0,URGENTE,10.6,10.6
BEV.LIQ.00039,LIQUORE PEACH TREE 70CL,FABBROCINO MICHELE SRL,LT,0.0,2.0,0.0,14.0,60.0,URGENTE,15.1429,0.0
BEV.LIQ.00038,LIQUORE FRANGELICO 70CL,FABBROCINO MICHELE SRL,LT,0.0,6.0,0.0,42.0,180.0,URGENTE,18.8571,0.0
BEV.LIQ.00032,LIQUORE MILIARE 70CL,MINIERI MARIANO,LT,2.1,9.785714285714286,0.2,119.0,294.0,URGENTE,22.2857,46.79997
BEV.LIQ.00030,AMARETTO DISARONNO,FABBROCINO MICHELE SRL,LT,0.0,7.431818181818182,0.0,73.0,223.0,URGENTE,17.28,0.0
BEV.LIQ.00027,LIQUORE LIMONCELLO LT.2,AMALFI SEI ESSE SRL,LT,12.0,25.77,0.5,325.0,773.0,URGENTE,7.3,87.6
BEV.LIQ.00022,LIQUORE KALHUA 1 LT,BELLAGAIA SRL,LT,1.0,3.0444444444444443,0.3,34.0,91.0,URGENTE,14.0,14.0
BEV.LIQ.00019,LIQUORE DRAMBUIE 70CL,FABBROCINO MICHELE SRL,LT,-1.11022302462516e-16,6.0,-0.0,42.0,180.0,URGENTE,34.8,-3.863576125695556e-15
BEV.LIQ.00014,"LIQUORE SAMBUCA MOLINARI 1,5LT",FABBROCINO MICHELE SRL,LT,1.5,14.25,0.1,150.0,428.0,URGENTE,17.7067,26.560050000000004
BEV.LIQ.00013,LIQUORE GRAND MARNIER 1LT,FABBROCINO MICHELE SRL,LT,7.21644966006352e-16,14.25,0.0,138.0,428.0,URGENTE,20.0,1.443289932012704e-14
BEV.GUA.00008,SCIROPPO D'ORZATA FABBRI 1LT,BELLAGAIA SRL,LT,-2.22044604925031e-16,2.7142857142857144,-0.0,28.0,81.0,URGENTE,12.0,-2.664535259100372e-15
BEV.GUA.00009,SCIROPPO D'AGAVE MONIN 70CL,BELLAGAIA SRL,LT,0.7,2.0,0.4,24.0,60.0,URGENTE,22.8571,15.999969999999998
BEV.GUA.00010,SCIROPPO DI ZUCCHERO,FABBROCINO MICHELE SRL,LT,0.0,3.6139240506329116,0.0,45.0,108.0,URGENTE,9.84,0.0
BEV.GUA.00012,ANGOSTURA,FORNITORE PER MODIFICHE ARTICOLI,LT,-5.55111512312578e-17,1.0,-0.0,7.0,30.0,URGENTE,62.5,-3.4694469519536126e-15
BEV.GUA.00015,SUCCO DI POMODORO 200ML,BELLAGAIA SRL,LT,1.2,1.9230769230769231,0.6,21.0,58.0,URGENTE,6.5,7.8
BEV.GUA.00021,LATTE DI COCCO 1LT,BELLAGAIA SRL,LT,3.0,6.0,0.5,81.0,180.0,URGENTE,12.65,37.95
BEV.RUM.00015,RUM DIPLOMATICO RESERVE EXCLUSIVA,FABBROCINO MICHELE SRL,LT,0.0,6.0,0.0,42.0,180.0,URGENTE,0.0,0.0
BEV.GUA.00040,SCIROPPO ANGURIA MONIN 1LT,BELLAGAIA SRL,LT,0.0,7.5,0.0,74.0,225.0,URGENTE,11.5,0.0
BEV.LIQ.00001,LIQUORE CREMA DI MELONE,CARICO INIZIALE,LT,4.44089209850063e-16,9.173469387755102,0.0,151.0,275.0,URGENTE,0.0,0.0
BEV.LIQ.00002,LIQUORE CREMA DI LIMONCELLO 1LT,BELLAGAIA SRL,LT,8.88178419700125e-16,6.472222222222222,0.0,68.0,194.0,URGENTE,21.0,1.8651746813702627e-14
BEV.LIQ.00004,LIQUORE DI FINOCCHIETTO 1LT,CARICO INIZIALE,LT,0.5,7.714285714285714,0.1,74.0,231.0,URGENTE,0.0,0.0
BEV.LIQ.00005,LIQUORE CONCERTO DI ERBE 50CL,CARICO INIZIALE,LT,1.0,12.0,0.1,143.0,360.0,URGENTE,0.0,0.0
BEV.LIQ.00006,LIQUORE CICERENELLA 50CL,CARICO INIZIALE,LT,0.500000000000002,8.75,0.1,101.0,262.0,URGENTE,0.0,0.0
BEV.LIQ.00011,LIQUORE BAYLE'S,BELLAGAIA SRL,LT,0.0,6.857142857142857,0.0,64.0,206.0,URGENTE,15.8,0.0
BEV.LAT.00001,LATTE INTERO UHT LT.1,AMALFI SEI ESSE SRL,LT,41.0,25.62857142857143,1.6,305.0,769.0,URGENTE,1.267,51.946999999999996
FOO.UOV.00001,UOVA FRESCHE L CAT. A X 180PZ,AMALFI SEI ESSE SRL,PZ,0.0,2.0,0.0,14.0,60.0,URGENTE,0.25,0.0
